movie_title,movie_info
Dark Water,"In this moody Japanese horror film, newly-single mom Yoshimi Matsubara (Hitomi Kuroki) is enduring a bitter divorce and struggling to keep custody of her young daughter, Ikuko (Rio Kanno). As the unstable Yoshimi tries to make a fresh start in a new apartment, strange occurrences in the building gradually begin to take their toll. When Yoshimi and Ikuko both start seeing unsettling visions of a ghostly little girl, it's clear that they're being drawn toward the supernatural."
The Accused,"Out drinking one night after a fight with her boyfriend, Sarah Tobias (Jodie Foster) is brutally raped by three men in a bar while people watch and cheer. District Attorney Kathryn Murphy (Kelly McGillis) takes the case, however allows the rapists to receive a mild sentence. A distraught Sarah decides to seek punishment for the men who witnessed and encouraged the rape. To get justice, Sarah must take the stand and revisit the night of her attack in this drama based on true events."
The Lost City,"Fico Fellove (Andy Garcia), an apolitical Havana club owner, gets caught in the middle when Fidel Castro's Communist Revolution sweeps through Cuba. He tries to keep the strife outside the walls of his popular establishment, but his family becomes divided when his brothers (Nestor Carbonell, Enrique Murciano) join the fight against Batista."
The Breaking Point,A charter-boat captain winds up in the middle of a syndicate shootout after transporting illegal immigrants.
Adam's Rib,"A courtroom rivalry finds its way into the household when prosecuting lawyer Adam Bonner (Spencer Tracy) faces off against his wife, Amanda (Katharine Hepburn), who happens to be a defense attorney. Working on opposite sides of a lawsuit where a woman (Judy Holliday) has shot her cheating husband (Tom Ewell), Adam and Amanda are both determined to win the case, and their home becomes the setting for comical showdowns, with neither spouse willing to relent."
The Bridge of San Luis Rey,"During the Spanish Inquisition, Franciscan monk Brother Juniper (Gabriel Byrne) witnesses the collapse of a bridge in Lima, Peru, and wonders why God has chosen to let five people perish. At a tribunal led by the imperious archbishop of Peru (Robert De Niro), the monk gives evidence about the tragedy's victims, including a marquesa (Kathy Bates) rejected by her daughter (Émilie Dequenne) and the beautiful mistress (Pilar López de Ayala) of a local nobleman (F. Murray Abraham)."
The Prowler (Cost of Living ),"After being frightened by a peeping Tom at her mansion in the suburbs, the beautiful Susan Gilvray (Evelyn Keyes) calls the police for help. When a policeman, Webb Garwood (Van Heflin), arrives, he becomes infatuated with Susan, and the two engage in an affair. Susan soon ends their relationship, choosing to remain with her husband, John (Sherry Hall). However, Webb's obsession with her continues to grow, until he begins plotting to kill John and cash in on his life insurance policy."
Criminal,"Needing a new partner capable of intricate cons, Richard Gaddis (John C. Reilly), recruits Rodrigo (Diego Luna), a crook with a perfect poker face. The two plan a big-time scam: selling a fake Silver Certificate to currency collector William Hannigan (Peter Mullan). Rodrigo distrusts his new associate, but needs money to help out his ill father. The situation becomes more complicated when Rodrigo falls for Gaddis' sister, Valerie (Maggie Gyllenhaal), drawing another player into the game."
The Adventures of Mark Twain,"In this claymation film, celebrated author Mark Twain (James Whitmore), displeased with the state of humanity, sets off in a hot-air balloon to meet his celestial destiny: Halley's Comet. Stowed away on the craft are beloved characters from Twain's stories -- Tom Sawyer (Chris Ritchie), Becky Thatcher (Michele Mariana) and Huckleberry Finn (Gary Krug). As Twain's balloon ascends ever higher to its ultimate goal, his literary creations try to persuade him of the essential goodness of man."
Deep Blue,"This nature documentary shows the lives of different animals in and near the oceans that make up two-thirds of the planet's surface. Gray whales make their migratory journeys despite being menaced by killer whiles, while smaller fish struggle to stay alive. In the Arctic, penguins and polar bears endure the winter, while on beaches crabs emerge to feed. Meanwhile, five miles under the water, unusual forms of life thrive -- many of them in places less explored than the moon."
The Adventures of Robin Hood,"When King Richard the Lionheart is captured, his scheming brother Prince John (Claude Rains) plots to reach the throne, to the outrage of Sir Robin of Locksley (Errol Flynn), the bandit king of Sherwood Forest. Rounding up his band of men and eventually winning the support of the lovely Maid Marian (Olivia de Havilland), Robin accuses Prince John of treachery and, when the escaped Richard returns covertly to England, joins forces with the king to prevent Prince John from taking the crown."
Man Hunt,"Renowned big-game hunter Captain Thorndike (Walter Pidgeon) is hunting in the Bavarian forest when he stumbles upon Adolf Hitler's vacation residence. Tempted by the idea of assassinating the dictator, he's apprehended and beaten before escaping and stowing away on a steamship back to England. Onboard, Thorndike has his identity stolen by the smooth-talking con man Mr. Jones (John Carradine). Both men soon discover that Gestapo agents are swarming London, looking for the would-be assassin."
Dead End,"When a family en route to a Christmas Eve gathering decides to takes a shortcut down a wooded road, an eerie sequence of events signals trouble ahead. After nearly colliding with an oncoming car, father Frank (Ray Wise) picks up a ghostly hitchhiker (Amber Smith) and her infant child. With the sudden appearance of their new passengers, the route becomes dark and treacherous -- and the family's numbers rapidly begin to dwindle in a series of seemingly connected, grisly roadside accidents."
Bandwagon,"When Tony (Lee Holmes) loses his job, he decides to focus on singing and writing songs. He then starts a band with his friends: Wynn (Kevin Corrigan) plays guitar, Eric (Steve Parlavecchio) is on bass and Charlie (Matthew Hennessey) mans the drums. Though an encounter with a loan shark almost ends the group's career before it starts, they soon team up with manager Chester (Doug MacMillan) and hit the road, where they learn that the rock 'n' roll lifestyle isn't everything it's cracked up to be."
Whore,"Encouraged by her neighbor (Daryl Hannah), a financially strapped graduate student (Denise Richards) turns to prostitution to make ends meet."
Tristan & Isolde,"After the fall of the Roman Empire, English orphan Tristan meets and falls in love with Irish princess Isolde, however she is set to marry Lord Marke, who raised Tristan. While unaware of her identity, he has won her hand in marriage for his lord and future king of the two countries, but now the passion of the two young people causes a rift leading to a devastating battle."
Wild Side,"Along with one (Edouard Nikitine) of her live-in lovers, a woman (Stéphanie Michelini) returns to her home village to visit her dying mother."
A Tale of Two Pizzas,"The offspring of rival pizzeria owners (Vincent Pastore, Frank Vincent) fall in love as their fathers battle over who makes the best pie."
Running Scared,"Mafia flunky Joey Gazelle (Paul Walker) is ordered to dispose of the guns that killed a pair of policemen. He hides them in his basement, where they are found by Oleg (Cameron Bright), the kid from next door, who uses one to shoot his brutal stepfather, a Russian mobster. The boy runs off, and Joey pursues him into the criminal underworld, desperate to retrieve the incriminating weapon. Meanwhile, corrupt detective Rydell (Chazz Palminteri) is following Joey's trail with his own agenda."
Going the Distance,"Nick (Christopher Jacot) is a successful young man whose comfortable West Coast life couldn't be better. However, when his girlfriend falls under the influence of lecherous music producer Lenny Swackhammer (Jason Priestley), Nick impulsively decides to travel to Toronto to intervene. Nick's buddies Tyler (Shawn Roberts) and Dime (Ryan Belleville) opt to turn the quest into a cross-country road trip that's complete with wacky antics and encounters with beautiful women."
Ultraviolet,"In the late 21st-century, a vampiric disease modifies some people, imbuing each of them with superhuman strength, intelligence and speed. Worldwide civil war looms as normal people, feeling threatened by their enhanced brethren, demand the extermination of the group. One such transformed female (Milla Jovovich) finds herself caught in the crossfire when she becomes the protector of a boy who is perceived to be a threat to humanity."
Home of the Brave,"In 1965, Klansmen murder a civil-rights worker named Viola Liuzzo who was driving with a black passenger."
Arthur and the Invisibles (Arthur and the Minimoys),"Ten-year-old Arthur must find a way to keep the home of his beloved grandmother from being destroyed by a developer with other plans. Remembering his grandfather's story of a treasure, he enters the world of tiny beings who live in perfect harmony with nature. Together with Princess Selenia and her young brother, Betameche, Arthur goes in search of the treasure and -- along the way -- discovers that his long-absent grandfather may not be missing after all."
Malevolence,"Bank robbers (Brandon Johnson, Heather Magee) take two hostages to a rural farmhouse where a serial killer lurks."
Eternal,A detective's (Conrad Pla) search for his missing wife leads him to a wealthy woman (Caroline Néron) who may have supernatural powers.
A Farewell To Arms,"Based on the Ernest Hemingway novel, this World War I drama follows American soldier Lt. Frederick Henry (Rock Hudson) and his romance with a nurse, Catherine Barkley (Jennifer Jones). While fighting alongside the Italian army, Frederick is separated from Catherine, who is pregnant with his child. After helping locals escape to freedom, Frederick searches for Catherine while enemy forces hunt him across Italy. But Catherine's poor health may prevent Frederick from reaching her in time."
The Narrow Margin,"Tense story of a tough cop attempting to transport the widow of a gangster to the trial in which she'll testify. They undertake a rail journey from Chicago to Los Angeles with their lives constantly under threat from hit men on the train, who will stop at nothing to prevent her from testifying."
The Matador,"Salesman Danny Wright (Greg Kinnear) is working through his shaky marriage and the untimely death of his child when he bumps into the similarly dispirited Julian Noble (Pierce Brosnan) in a Mexican dive bar. After they develop an unusual but meaningful bond, the brash Julian reveals that he is a contract killer, which doesn't bother Danny. Months later, a desperate Julian shows up at Danny's home and asks for a life-changing favor that truly puts their friendship to the test."
Smile,"While visiting China, an American high-school student (Mika Boorem) befriends a teenager (Yi Ding) who has a facial deformity."
The Intruder (L'Intrus),"After receiving a heart transplant, an enigmatic loner (Michel Subor) journeys to Tahiti to reconnect with the son he fathered many years earlier."
Saint Ralph,"The year 1954 finds teen outcast Ralph Walker (Adam Butcher) getting in trouble at the Catholic school he attends in Ontario, Canada. When the headmaster (Gordon Pinsent) catches Ralph smoking, he puts the boy on the school's cross-county team to force him to put his time to better use. When Ralph discovers that his hospitalized mother has slipped into a coma, he decides to run in the Boston Marathon, hoping that, if he wins, God will grant him a miracle and make his mother well again."
The Baxter,"Elliot Sherman (Michael Showalter) has had terrible luck with women during his life, losing three of them to ex-boyfriends in outlandish situations. Now, a week before he is to marry Caroline (Elizabeth Banks), she mentions an old high-school boyfriend, Bradley (Justin Theroux), and Elliot worries that the curse is about to strike again. A co-worker named Cecil (Michelle Williams) attempts to reassure him, but trying not to give in to anxiety only makes things worse."
Oliver Twist,An orphan (Barney Clark) in 19th-century London falls in with a gang of young pickpockets who steal for their villainous master (Ben Kingsley).
The Alamo,"In 1836, the Mexican army, led by General Santa Anna, is invading Texas. Hoping to create a diversion for Santa Anna's forces, General Sam Houston (Richard Boone) orders Colonel William B. Travis (Laurence Harvey), joined by Colonels Jim Bowie (Richard Widmark) and Davy Crockett (John Wayne), to lead a small, heroic band of American and Texican fighters in a resistance battle at the Alamo mission. The carnage at the Alamo further spurs the Republic of Texas toward freedom."
G,"Summer G (Richard T. Jones), an aspiring rapper, finds himself enamored with a young woman named Sky Hightower (Chenoa Maxwell), an ambitious social climber who is wary of Summer's low-class status. Although she rejects him for Chip (Blair Underwood), who works in the lucrative world of finance, that only pushes Summer to work even harder to make himself a wealthy and important man -- someone Sky will love. However, he encounters problems from both the old money guard and from Sky herself."
Alexander the Great,"The son of Philip of Macedonia (Fredric March) and Olympias (Danielle Darrieux), Alexander the Great (Richard Burton) is one of the most legendary leaders throughout history. As the Macedonian king, Alexander successfully unites all the ancient Greek tribes and leads them to defeat the imposing Persian Empire. With the fall of Babylon, Alexander continues to conquer most of the known world. Eventually, he achieves the status of unparalleled ruler atop his newly formed Greek empire."
Alfie,"Set in postwar London, ""Alfie"" features Michael Caine as a chauffeur bent on promiscuity. After impregnating his girlfriend he takes off on vacation. He continues his life of womanizing, but he can't hide forever. A misfortune strikes and Alfie is forced to face the product of his ways."
Neverwas,"Dr. Zach Riley (Aaron Eckhart) begins practicing at the Millwood Psychiatric Clinic -- a mental health retreat where his deceased father, renowned children's book author T.L. Pierson (Nick Nolte), was once interned. Riley finds an unlikely friend in Gabriel Finch (Ian McKellen), a disarming patient who forces him to examine himself. When Finch suggests that the fantastic land in Pierson's classic book ""Neverwas"" is real, Riley begins a spellbinding investigation into his father's work."
The Second Chance,"Two pastors, one from a wealthy parish in a predominantly white suburb, the other, the head of an inner-city church, must learn to bridge the gap between their different philosophies and their individual prejudices. Together they look for common ground through faith and fight to save one's struggling urban church and the people it serves."
Moonlight,"Claire, a Dutch girl, discovers a wounded boy hiding in the garden shed behind her adoptive parents' luxurious home. The boy is a narcotics courier from Afghanistan, who was left for dead after being shot by drug dealers once his services were no longer needed. Claire nurses the boy back to health and develops deep feelings for him as their relationship grows. The drug dealers discover the boy is still alive, prompting Claire to leave her family and run away with the boy she now loves."
Aliens,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team. Upon arriving at LV-426, the marines find only one survivor, a nine year old girl named Newt (Carrie Henn). But even these battle-hardened marines with all the latest weaponry are no match for the hundreds of aliens that have invaded the colony."
Rise: Blood Hunter,"Sadie (Lucy Liu), a reporter, investigates an underground cult in Los Angeles which seems to be responsible for a series of grisly murders. While trying to discover the cult's secrets, she becomes a victim herself. Sadie awakes in the morgue with an insatiable craving for blood and revenge, so she joins forces with a grieving detective (Michael Chiklis) to destroy the undead creatures once and for all."
All About Eve,"Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway mega-star Margo Channing, telling a melancholy life story to Margo and her friends. Margo takes Eve under her wing, and it appears that Eve is a conniver that uses Margo."
When Do We Eat?,"Members of the Stuckman family gather for Seder with patriarch Ira (Michael Lerner), an old-fashioned man who pushes his sons as hard as his own father (Jack Klugman) pushed him. Chaos erupts when one of Ira's sons slips him a hit of Ecstasy, turning him into a modern Moses."
The Mostly Unfabulous Social Life of Ethan Green,"A young man named Ethan (Daniel Letterle) is head-over-heels in love with an ex-baseball player (Diego Serrano) who has just revealed in a new book that he is gay. Meanwhile, a former lover (David Monahan) plots to sell Ethan's house, prompting him to enlist the aid of a hot guy (Dean Shelton) and a real-estate agent (Rebecca Lowman) to prevent the sale from going through."
Dirty,"Armando Sancho (Clifton Collins Jr.) is a former Los Angeles gang member who has transitioned into law enforcement. Sancho, however, who is surrounded by corruption, finds that life as a police officer is just as morally bankrupt as life as a gangster. After being implicated in the shooting of an innocent man himself, Sancho is then pressured to testify against his loose-cannon friend and partner, Salim Adel (Cuba Gooding Jr.), who has a history of abusing citizens."
Stay Alive,"Teenagers decide to pass idle time by playing an online game that has a horror theme. But the action taking place on their computer screens becomes a terrifying reality when they realize that each time a character dies during the game, the figure's human overseer dies as well."
All of Me,"While on her deathbed, the rich Edwina Cutwater (Lily Tomlin) has her lawyer Roger Cobb (Steve Martin) add the odd stipulation to her will that her soul will be inherited by the young Terry Hoskins (Victoria Tennant). The plan backfires when Edwina dies. She ends up inhabiting Roger's body and controlling only its right side. Edwina and Roger are forced to work together to find a way to get her soul out his body and into the body she originally intended."
All Quiet on the Western Front,"At the start of World War I, Paul Baumer (Richard Thomas) is a young German patriot, eager to fight. Indoctrinated with propaganda at school, he and his friends eagerly sign up for the army soon after graduation. But when the horrors of war soon become too much to bear, and as his friends die or become gravely wounded, Paul questions the sanity of fighting over a few hundreds yards of war-torn countryside. The film is based on the classic novel of the same name by Erich Maria Remarque."
Dreamland,"Teenage Aubrey (Agnes Bruckner) is always there for everyone, including her father, Henry (John Corbett), who has not left the house since her mother died, and her friend Calista (Kelli Garner), who has multiple sclerosis. Her longing to experience life for herself begins to awaken, however, with the arrival of new neighbors, including a young man named Mookie (Justin Long). After setting Mookie up with Calista, Aubrey begins to feel jealous, but struggles to put her own needs above others'."
Independent Lens,"Fifteen million Ethiopians make a living related to coffee, which accounts for 67 percent of the country's foreign exports. Yet as profits soar for coffee sales, the farmers producing the beans continue to receive minimal payments, anywhere from 12 to 25 cents for every kilo picked. Businessman Tadesse Meskela tries to help raise the impoverished standard of living by negotiating, on behalf of 70,000 farmers, with coffee roasters willing to pay a fairer price for their labor."
All the King's Men,"Drama about the rise and fall of a corrupt southern governor who promises his way to power. Broderick Crawford portrays Willie Stark, who, once he is elected, finds that his vanity and power lust prove to be his downfall. The film is based on the 1946 Pulitzer Prize-winning novel by Robert Penn Warren."
Street Fight,"Documentarian Marshall Curry chronicles the 2002 mayoral race in Newark, New Jersey. The election involves Sharpe James, who has held the seat for 16 years, and his challenger, attorney Cory Booker. Curry investigates the legality and ethics of the veteran mayor's tactics, and captures James' staff engaging in illicit behavior and threatening their competition with violence. James' vicious smear campaign is also documented. Spike Lee and Cornel West appear in the film on Booker's behalf."
Lost Horizon,An airplane hijacking leaves a diplomat (Peter Finch) and other Westerners in the Tibetan utopia Shangri-La.
The Motel,"While shouldering the burden of cleaning his family's sleazy motor inn, 13-year-old Ernest (Jeffrey Chyau) dreams of being a writer. A ne'er-do-well named Sam (Sung Kang) arrives for a night but stays longer, and the fatherless boy sees in him a male figure to emulate."
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"This documentary looks back on a time when soccer briefly captured America's attention. The film profiles the North American Soccer League franchise the New York Cosmos and the sensation it created back in the 1970s. Using archival footage, old photos and anecdotes from former players and businessmen, it tells the story -- or several conflicting stories -- of a team starring Brazilian soccer legend Pele, formed by non-sports people and ultimately submarined by the league's excessive expansion."
Requiem,"Michaela, an epileptic, enrolls in college to study education. She goes off her medication and soon begins hearing voices and seeing apparitions that tell her to avoid religious objects, although she is devoutly Roman Catholic. One priest scoffs at the idea that Michaela could be possessed by demons, but a younger pastor arranges an exorcism for the young woman."
Gui si (Silk),"Aiming to harness the energy found in some supernatural spirits, scientist Hashimoto (Yosuke Eguchi) and colleagues catch the ghost of a young boy. Hashimoto plans to use the energy to fuel an anti-gravity device he's invented. But, in order to tap into the ghost's essence, he must understand the silent words coming from its mouth. The scientists call in police officer Tung (Chen Chang), who can read lips, but, as they learn that the boy was murdered, the experiment goes in a scary direction."
Park,"A dozen people and their myriad problems descend upon a quiet Los Angeles park at lunch hour. April (Dagney Kerr) comes to commit suicide but can't quite get it right. Peggy (Ricki Lake) and her best friend, Claire (Cheri Oteri), seek to humiliate Dennis (William Baldwin), Peggy's philandering husband, while co-workers Nathan (Trent Ford) and Babar (Maulik Pancholy) are determined to convince their female colleagues that they do indeed enjoy eating lunch in the nude."
The 4th Dimension,"When Jack finds Einstein's journal on unified field theory, he becomes obsessed with analyzing time and its connections to supernatural experiences."
"Bon Cop, Bad Cop","Two policemen (Colm Feore, Patrick Huard) from different Canadian provinces must work together to solve a crime."
Amazing Grace,"In 18th-century England, House of Commons member William Wilberforce (Ioan Gruffudd) and his close friend and a future prime minister, William Pitt (Benedict Cumberbatch), begin a lengthy battle to abolish Great Britain's slave trade. Though Wilberforce's legislation is soundly defeated in 1791, his growing affection for Barbara Spooner (Romola Garai) inspires him to take up the fight once more."
The Silence,Photographs of a murdered woman (Ellouise Rothwell) from the 1960s prompts a cop (Richard Roxburgh) to reopen the case.
Cocaine Cowboys,"Filmmaker Billy Corben recalls Miami drug wars of the 1970s and '80s, when Colombian drug lords turned the relatively quiet Florida city into a breeding ground for violence and excess. Corben interviews so-called ""survivors"" of the era, including dealers, smugglers and hit men."
Gone,A British tourist (Shaun Evans) grows suspicious of a mysterious American's (Scott Mechlowicz) motive for joining him and his fiancee on a trip through the Australian Outback.
The Situation,"Anna (Connie Nielsen) is an American journalist who's falling in love with Iraqi photographer Zaid (Mido Hamada) against the backdrop of the war in Iraq. She's also ending a secret affair with Dan (Damian Lewis), an intelligence officer in Baghdad. The dangers of wartime Iraq heighten everyone's emotions, and the love triangle creates further stress when one of Anna's friends is killed, and Anna is kidnapped. Zaid and Dan must get together to rescue Anna before it's too late."
Snow Blind,The culture and spirit of climbers and the mountains they ascend.
Four Sheets to the Wind,His father's suicide prompts a young American Indian (Cody Lightning) to leave the reservation and explore the world outside.
The Tiger's Tail,"Liam O'Leary (Brendan Gleeson) is a prosperous real estate tycoon who lives in Dublin with his wife, Jane (Kim Cattrall). Hoping to bring his profits and his career to new heights, Liam takes out a large bank loan with the prospect of building a new stadium. But, when his request for development is turned down by the city, his life stumbles into a downward spiral. More disturbing than his crippled assets is his mysterious double whom he keeps seeing around town."
It's a Boy Girl Thing,"Pretty teen girl Nell (Samaire Armstrong) is extremely bookish and can't wait to move on to higher education, while her dim-witted neighbor and classmate, Woody (Kevin Zegers), wants nothing more than to play football. When a class trip to a museum places Nell and Woody under an ancient Incan spell, the two awake the next day to find that they've switched bodies. As they cope with their bizarre situation, Nell and Woody realize that they must discover a way to reverse the spell."
Slipstream,"An aging man, Felix Bonhoeffer (Anthony Hopkins), finds that the characters in a murder mystery, which he is writing as a screenplay, are invading his life. Although it astounds him that the real world and the play are merging, he fails to realize that he is losing his mind."
Delirious,"Desperate to make it big as a photographer, Les (Steve Buscemi) befriends Toby (Michael Pitt), a young actor with no direction, who romances a pop star."
Interview,"Pierre Peders (Steve Buscemi), a political reporter, receives an unwelcome assignment from his editor: Write a puff piece on Katya (Sienna Miller), a sexy starlet whose love life provides plentiful tabloid fodder. The pair manage to alienate each other within minutes, then Pierre is injured in an accident, and Katya brings him back to her apartment. An unusual encounter unfolds for the jaded journalist and the woman who may not be as stupid as she seems."
American Anthem,"Two gymnasts (Mitch Gaylord, Janet Jones) fall in love and train hard in Arizona for stiff competition in a world-class meet."
The Ten,"A series of interweaving vignettes spoof the Ten Commandments. In one story, a skydiver (Adam Brody) forgets to pack his parachute. When he lands, he doesn't die, but gets stuck in the ground, causing a media circus and jeopardizing his relationship with his girlfriend, Kelly (Winona Ryder). Later, Kelly begins a tumultuous relationship with a ventriloquist's dummy. In another story, a doctor (Ken Marino) obsessed with pranks accidentally kills a patient and winds up in jail."
The Happening,"An apocalyptic threat to humanity arrives out of the clear blue sky with a series of violent, inexplicable deaths spreading across the country. The cause of the terrifying phenomenon remains unknown, prompting science teacher Elliot Moore (Mark Wahlberg), his wife Alma (Zooey Deschanel) and his colleague Julian (John Alberto Leguizamo) to try to elude the invisible killer in Pennsylvania's farmland. Soon it becomes clear that no one is safe."
Molière,"In 17th-century France, playwright and actor Molière (Romain Duris) has his debts paid off by Monsieur Jourdain (Fabrice Luchini), freeing him from debtors prison. In return, Jourdain asks for acting lessons so he can win the heart of the beautiful widow Célimène (Ludivine Sagnier) by performing a short play for her. Presented to Jourdain's family as the priest Tartuffe, Molière begins to fall in love with Monsieur Jourdain's disregarded wife, Elmire (Laura Morante)."
Straightheads (Closure),"There is instant chemistry between Alice (Gillian Anderson), a businesswoman, and Adam (Danny Dyer), a younger working-class man who installs a security system in her London apartment. She takes him to a party in the country, and they end up making love. But the night turns horrific when they encounter three thugs who maim Adam and rape Alice. The incident turns them into fearful recluses until Alice spots the leader of their attackers (Anthony Calf) -- and the two victims plot a brutal revenge."
Borderland,"Ed (Brian Presley), Henry (Jake Muxworthy) and Phil (Rider Strong) are three American college graduates in search of wild times in Mexico. After a night of partying with two local women, Ed and Henry realize that Phil is missing. Joining forces with an ex-cop, their search for their friend leads them to a horrifying encounter with cultists who practice human sacrifice."
Spiral,"A shy man with emotional problems befriends a co-worker whose love could give him a normal life, if he can overcome his dark past."
Alexandra,"Elderly Aleksandra (Galina Vishnevskaya) visits her Russian soldier grandson, Denis (Vasily Shevtsov), at the Chechen war front, providing comfort as she tours his army base. While there, Aleksandra surprises everyone by climbing into an armored vehicle and brandishing a Kalashnikov rifle. Afterward, venturing outside, she meets a Chechen woman in town who bemoans the number of occupying troops, then has other adventures. All the while, Denis ponders the reason for her unexpected appearance."
Blood and Tears: The Arab-Israeli Conflict,"Officials, religious leaders and other citizens explore the unresolved feud between their peoples."
The Cool School,Several artists try to make modern art more popular in Los Angeles.
Pathology,"Medical student Ted Grey (Milo Ventimiglia) graduates at the top of his class and quickly joins an elite pathology program, whose top students invite him into their circle. There he uncovers a gruesome secret: They play a game in which one tries to commit the perfect, undetectable murder, then the others compete to determine the victim's cause of death."
Disney's A Christmas Carol,"Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness."
Deep Water,"In 1968, Donald Crowhurst, an inexperienced British sailor, puts up his home as collateral, gains financial backing and enters the Golden Globe, the first nonstop boat race around the world. Under dire financial pressure, Crowhurst decides to set sail before his boat is fully built, leaving it unprepared for the stresses of the open ocean. Crowhurst is under-prepared himself, and his decision to embark before he and his vessel are ready sets a deadly chain of events into motion."
Road to Victory,A young football player (Mike Reilly) faces mounting pressure.
Beverly Hills Chihuahua,"Chloe (Drew Barrymore), a pampered Chihuahua from Beverly Hills, gets an unwelcome taste of the real world when she gets lost in a tough part of Mexico. With no Rodeo Drive boutiques in sight, she is out of her element, until scrappy street dogs Delgado and Papi lend her a paw, helping her find her way home."
Fireflies in the Garden,"Successful novelist Michael (Ryan Reynolds) visits his family in the Midwest, only to learn that his mother, Lisa (Julia Roberts), has died in a tragic accident. Along with his father, Charles (Willem Dafoe), a college professor, and his sister, Ryne (Shannon Lucio), Michael attempts to come to terms with his grief. Lisa's absence revives many old wounds, however, and the emerging tensions threaten to destroy the family just as they make an effort to come together and mourn."
The Eye,"Blind for most of her life, concert violinist Sydney Wells (Jessica Alba) is the recipient of a double corneal transplant that restores her sight at long last. With the help of her doctor (Alessandro Nivola) and sister (Parker Posey), she learns to see again. Soon, however, frightening visions convince her that a terrifying alternate world exists, and only she can see it."
Day of the Dead,"After zombies take over the world, a group of survivors struggles to survive within a bunker."
